UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
208859,43,43,43,0,84,0,7,0,0,0,2,5,2,0,95,91,43,39,0,4,0,43,39,0,4,0,0,0,0,0,0,84,0,7,0,0,0,2,5,2,0,95,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,38,1,0,0,97,3,0,0,0,0,100,0,0,100,,,
209038,6810,4573,3059,3751,64,2,16,3,3,0,1,9,3,2,52,14,6810,1468,657,3939,746,3059,935,288,1732,104,3751,533,369,2207,642,64,2,16,3,3,0,1,9,3,2,52,0,0,0,,,,,,,,,,,,3463,3463,0,1249,1249,0,2214,2214,0,3,44,51,2,1398,57,0,13,95,4,0,1,29,30,41,29,30,41,,,
209056,3504,3212,3031,473,61,3,12,5,5,0,0,7,8,5,67,23,2139,482,54,1584,19,2095,482,54,1556,3,44,0,0,28,16,63,3,13,5,5,0,0,9,2,6,63,1365,936,429,59,2,11,5,5,0,1,3,17,2,73,,,,,,,,,,,,,,90,353,39,0,19,73,8,0,4,9,87,0,0,100,11,22,67
209065,1709,1621,1565,144,57,2,22,6,6,1,1,8,2,1,64,23,1652,381,169,1071,31,1518,380,122,1001,15,134,1,47,70,16,57,2,23,7,6,1,1,8,2,1,65,57,47,10,58,4,7,2,2,0,0,9,19,2,56,,,,,,,,,,,,,,238,138,5,0,62,36,1,0,6,17,77,6,17,76,2,0,98
209074,5242,3082,1990,3252,56,1,12,2,2,0,1,4,23,1,57,14,5242,1246,766,3162,68,1990,760,147,1069,14,3252,486,619,2093,54,56,1,12,2,2,0,1,4,23,1,57,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1184,36,2,24,95,3,0,2,21,40,39,21,40,39,,,
209083,37,37,37,0,51,3,24,3,0,3,3,16,0,0,89,5,37,2,0,35,0,37,2,0,35,0,0,0,0,0,0,51,3,24,3,0,3,3,16,0,0,89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
209153,32,32,32,0,53,3,34,3,3,0,3,0,3,0,81,94,32,30,0,2,0,32,30,0,2,0,0,0,0,0,0,53,3,34,3,3,0,3,0,3,0,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,27,3,0,0,90,10,0,0,0,0,100,0,0,100,,,
209205,35,35,35,0,46,6,29,6,6,0,6,6,3,0,100,3,35,1,0,34,0,35,1,0,34,0,0,0,0,0,0,46,6,29,6,6,0,6,6,3,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
209241,127,105,92,35,39,2,28,14,12,2,0,5,0,12,3,17,41,7,15,16,3,36,7,14,15,0,5,0,1,1,3,29,2,41,17,12,5,0,5,0,5,0,86,56,30,44,1,22,13,12,1,0,5,0,15,5,,,,,,,,,,,,,,0,7,0,0,0,100,0,0,0,0,100,0,0,100,0,0,100
209250,6476,3944,2231,4245,48,4,20,7,7,0,1,6,12,1,47,8,6476,865,560,2431,2620,2231,550,284,1119,278,4245,315,276,1312,2342,48,4,20,7,7,0,1,6,12,1,47,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,802,63,0,0,93,7,0,0,16,31,53,16,31,53,,,
209296,414,394,381,33,43,6,7,6,5,0,1,9,27,1,84,0,44,0,22,19,3,43,0,22,19,2,1,0,0,0,1,36,2,11,2,2,0,0,5,43,0,93,370,338,32,44,6,6,6,6,0,2,9,25,1,83,,,,,,,,,,,,,,,,,,,,,,23,11,66,66,20,14,18,10,72
209409,761,700,661,100,65,2,15,5,3,2,1,8,1,3,60,21,520,109,82,326,3,459,109,76,274,0,61,0,6,52,3,60,3,17,5,3,1,1,9,2,4,54,241,202,39,74,1,12,5,3,2,0,7,1,0,71,291,97,194,206,49,157,85,48,37,0,81,19,0,58,41,10,0,53,38,9,0,10,50,40,8,40,52,16,71,13
209490,2942,2447,2138,804,58,3,14,13,13,0,0,7,1,4,70,0,836,0,362,474,0,402,0,303,99,0,434,0,59,375,0,62,2,21,6,6,0,0,7,0,1,82,2106,1736,370,56,3,11,16,16,0,1,7,1,5,65,2293,534,1759,1653,253,1400,640,281,359,0,36,64,0,,,,,,,,,14,31,56,20,34,46,11,29,60
209506,5299,3480,2253,3046,63,1,17,8,7,0,1,6,3,1,52,10,5160,530,398,1964,2268,2177,492,276,1394,15,2983,38,122,570,2253,63,1,17,8,7,1,1,6,3,1,52,139,76,63,63,4,9,5,5,0,5,2,1,10,58,1008,909,99,448,403,45,560,506,54,39,43,18,0,410,120,0,0,77,23,0,0,12,17,72,10,17,73,57,27,17
209542,37163,30170,25608,11555,61,2,13,8,8,0,1,7,3,6,50,14,31253,4778,2763,23202,510,22104,4275,1811,15886,132,9149,503,952,7316,378,63,2,13,8,8,0,1,7,3,3,49,5910,3504,2406,52,2,10,6,6,0,0,5,3,21,54,12633,8276,4357,5072,2770,2302,7561,5506,2055,1,73,26,0,2619,2015,140,4,55,42,3,0,35,23,41,35,26,40,38,12,50
209551,24404,23324,22638,1766,60,3,16,7,7,0,1,9,1,3,56,24,20622,5087,842,14568,125,19494,5038,767,13625,64,1128,49,75,943,61,60,3,17,7,7,0,1,10,1,1,56,3782,3144,638,57,3,12,6,6,0,1,5,2,14,58,3439,719,2720,2609,469,2140,830,250,580,1,96,3,0,2420,2596,64,7,48,51,1,0,3,29,69,1,32,67,12,9,79
209603,466,459,455,11,59,5,16,3,3,0,0,9,6,2,79,24,422,102,38,280,2,412,102,38,270,2,10,0,0,10,0,59,5,18,3,3,0,0,9,5,2,78,44,43,1,61,2,5,5,5,0,0,11,14,2,84,,,,,,,,,,,,,,38,64,0,0,37,63,0,0,0,0,100,0,0,100,0,0,100
209612,3427,3224,3097,330,46,3,16,17,15,2,1,9,4,5,67,22,1589,351,121,1044,73,1468,350,110,986,22,121,1,11,58,51,42,3,20,16,13,3,0,14,3,2,57,1838,1629,209,50,2,13,17,16,1,1,5,5,7,75,1353,122,1231,1110,76,1034,243,46,197,1,91,8,0,149,198,3,1,42,56,1,0,10,29,61,4,30,66,15,27,58
209667,59,59,59,0,63,0,14,2,2,0,0,22,0,0,97,92,59,54,0,5,0,59,54,0,5,0,0,0,0,0,0,63,0,14,2,2,0,0,22,0,0,97,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,54,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
209676,101,101,101,0,66,0,18,0,0,0,3,8,5,0,91,90,101,91,0,10,0,101,91,0,10,0,0,0,0,0,0,66,0,18,0,0,0,3,8,5,0,91,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,91,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
209694,38,38,38,0,47,8,24,0,0,0,5,11,5,0,92,87,38,33,0,5,0,38,33,0,5,0,0,0,0,0,0,47,8,24,0,0,0,5,11,5,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,33,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
209700,212,212,212,0,57,11,19,4,4,0,2,1,6,0,83,28,212,60,0,152,0,212,60,0,152,0,0,0,0,0,0,57,11,19,4,4,0,2,1,6,0,83,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,55,5,0,0,92,8,0,0,0,0,100,0,0,100,,,
209719,66,66,66,0,82,3,14,2,0,2,0,0,0,0,100,71,66,47,0,19,0,66,47,0,19,0,0,0,0,0,0,82,3,14,2,0,2,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,47,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
209746,20861,12410,8138,12723,50,5,23,9,8,1,1,7,5,1,56,11,20861,4672,1644,13215,1330,8138,2251,780,4942,165,12723,2421,864,8273,1165,50,5,23,9,8,1,1,7,5,1,56,0,0,0,,,,,,,,,,,,8585,8585,0,2500,2500,0,6085,6085,0,9,50,41,0,4440,229,3,0,95,5,0,0,40,31,29,40,31,29,,,
209807,19951,15342,12384,7567,48,5,20,10,9,1,0,7,4,5,58,9,15414,1502,2031,9649,2232,10139,1376,1549,7084,130,5275,126,482,2565,2102,45,6,22,11,10,1,0,8,5,3,56,4537,2245,2292,55,3,13,7,6,0,0,6,1,14,62,8969,5070,3899,4761,2956,1805,4208,2114,2094,7,60,33,0,1165,298,37,2,78,20,2,0,17,35,47,18,39,43,16,22,61
209825,3285,3129,3032,253,40,3,20,22,21,1,0,9,2,4,64,24,2986,711,91,2155,29,2915,711,91,2113,0,71,0,0,42,29,38,3,21,23,22,1,0,9,2,3,65,299,117,182,58,2,9,8,8,0,0,5,1,16,58,225,39,186,85,36,49,140,3,137,2,96,1,0,248,449,12,2,35,63,2,0,0,3,97,0,2,98,4,11,85
209922,1358,1333,1317,41,57,2,12,8,8,0,0,10,1,9,58,23,1346,303,12,1005,26,1317,303,12,997,5,29,0,0,8,21,57,2,12,8,8,0,0,10,1,9,59,12,0,12,50,8,8,0,0,0,0,0,33,0,33,26,17,9,13,13,0,13,4,9,3,96,1,0,47,232,24,0,16,77,8,0,0,0,100,0,0,100,0,0,100
209940,4009,2397,1583,2426,60,1,24,3,2,1,2,0,9,0,58,8,4009,613,238,2708,450,1583,310,104,1091,78,2426,303,134,1617,372,60,1,24,3,2,1,2,0,9,0,58,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,593,14,0,6,97,2,0,1,28,34,38,28,34,38,,,
210146,5113,3551,2542,2571,41,1,10,2,1,0,1,7,38,1,64,12,4235,527,292,1932,1484,2351,511,253,1514,73,1884,16,39,418,1411,40,1,10,2,1,1,1,7,38,1,62,878,191,687,43,2,8,2,2,0,1,5,39,0,73,,,,,,,,,,,,,,324,186,0,17,61,35,0,3,13,28,59,8,30,62,35,21,44
210155,1551,1049,795,756,66,1,14,2,1,1,3,6,4,3,63,22,1551,419,81,770,281,795,340,43,388,24,756,79,38,382,257,66,1,14,2,1,1,3,6,4,3,63,0,0,0,,,,,,,,,,,,438,438,0,168,168,0,270,270,0,17,55,28,0,313,87,19,0,75,21,5,0,32,42,26,32,42,26,,,
210234,1483,955,688,795,52,2,25,1,1,0,1,1,18,0,54,15,1483,297,151,745,290,688,224,113,329,22,795,73,38,416,268,52,2,25,1,1,0,1,1,18,0,54,0,0,0,,,,,,,,,,,,490,490,0,164,164,0,326,326,0,11,55,33,1,142,152,1,2,48,51,0,1,20,38,43,20,38,43,,,
210270,2582,1550,1029,1553,69,2,14,3,3,0,2,7,5,0,65,18,2582,813,81,1325,363,1029,472,38,505,14,1553,341,43,820,349,69,2,14,3,3,0,2,7,5,0,65,0,0,0,,,,,,,,,,,,1125,1125,0,313,313,0,812,812,0,14,42,44,0,648,165,0,0,80,20,0,0,38,32,30,38,32,30,,,
210304,378,361,350,28,33,12,31,15,12,3,1,6,1,1,61,10,378,39,99,237,3,350,37,90,223,0,28,2,9,14,3,33,12,31,15,12,3,1,6,1,1,61,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,22,11,1,5,56,28,3,13,1,17,82,1,17,82,,,
